item_num,rep,ppt,word,f0,f1,f2,duration,ipa,arpa,onset,offset,environment,real_word,age,years_uni,sex,ethnicity,birthplace,home_state,years_lived_hi,L1,exposure_langs_yn,exposure_langs,age_learned_en,speak_other
7,2,P112,pod,217.51,685.2745659,1206.830695,400,ɑ,AA,voiceless,voiced,voiceless_voiced,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
31,2,P112,pud,220.98,765.7464043,1572.487095,390,ʌ,AH,voiceless,voiced,voiceless_voiced,notreal,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
14,3,P112,beat,136.75,326.620216,2808.957736,320,i,IY,voiced,voiceless,voiced_voiceless,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
15,3,P112,peat,212.4,350.9785523,2990.929628,370,i,IY,voiceless,voiceless,voiceless_voiceless,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
26,3,P112,boot,222.21,405.3080888,1662.149203,380,u,UW,voiced,voiceless,voiced_voiceless,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
18,3,P112,bit,204.34,519.0390633,2178.359465,350,ɪ,IH,voiced,voiceless,voiced_voiceless,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
17,2,P112,bid,218.74,497.425037,2295.12814,360,ɪ,IH,voiced,voiced,voiced_voiced,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
23,3,P112,poat,235.27,548.9482083,1134.567308,400,o,OW,voiceless,voiceless,voiceless_voiceless,notreal,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
16,3,P112,peed,231.04,360.4335991,3008.031768,400,i,IY,voiceless,voiced,voiceless_voiced,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
7,3,P112,pod,218.68,956.575402,1298.966427,380,ɑ,AA,voiceless,voiced,voiceless_voiced,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
8,3,P112,pot,217.18,723.5625043,1201.640133,380,ɑ,AA,voiceless,voiceless,voiceless_voiceless,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
12,3,P112,pet,232.5,746.1895882,1991.86572,410,ɛ,EH,voiceless,voiceless,voiceless_voiceless,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
13,2,P112,bead,222.76,388.8771485,2822.095319,350,i,IY,voiced,voiced,voiced_voiced,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
13,3,P112,bead,224.32,393.9068215,2908.481522,350,i,IY,voiced,voiced,voiced_voiced,real,19,1.5,Female,White,Scotland,None,11to20y,English,yes,Multiple,0,Multiple
